,Formula,D(R=0.5),D(R=0.99)
A0,sqrt(-0.445500529487714*R + 0.445942094127575)*(0.831103270889989*R + 2*sqrt(-0.445500529487714*R + 0.445942094127575) - 0.873130149901459)/(-R + 1.00099116524142)**2,0.9172,51.9075
A1,sqrt(-0.399334061557233*R + 0.400040290041719)*(0.76136982359032*R + 2*sqrt(-0.399334061557233*R + 0.400040290041719) - 0.814519743044107)/(-R + 1.00176851551739)**2,0.8204,37.7882
A2,sqrt(-0.371256638396847*R + 0.371563104683177)*(0.744633599781921*R + 2*sqrt(-0.371256638396847*R + 0.371563104683177) - 0.779645956819423)/(-R + 1.00082548365372)**2,0.7823,45.6209
A3,sqrt(-0.404419630959627*R + 0.40513232786328)*(0.774431438781942*R + 2*sqrt(-0.404419630959627*R + 0.40513232786328) - 0.827824206219214)/(-R + 1.00176227079274)**2,0.8236,38.2877
A4,sqrt(-0.477312238798227*R + 0.478417281578879)*(0.838591848480751*R + 2*sqrt(-0.477312238798227*R + 0.478417281578879) - 0.905076215986241)/(-R + 1.00231513606991)**2,0.9577,39.6676
B0,sqrt(-0.485129153380007*R + 0.485701055200995)*(0.856945499928377*R + 2*sqrt(-0.485129153380007*R + 0.485701055200995) - 0.904774437653931)/(-R + 1.00117886508573)**2,1.0009,53.5587
B1,sqrt(-0.664360943331584*R + 0.665607100465316)*(0.976144132135*R + 2*sqrt(-0.664360943331584*R + 0.665607100465316) - 1.04674603391481)/(-R + 1.0018757230482)**2,1.3668,61.2716
B2,sqrt(-0.388437823772073*R + 0.388685474308623)*(0.771107066586251*R + 2*sqrt(-0.388437823772073*R + 0.388685474308623) - 0.802580899308079)/(-R + 1.00063755515399)**2,0.8180,50.7718
B3,sqrt(-0.422209018399729*R + 0.422948083102819)*(0.797557035182498*R + 2*sqrt(-0.422209018399729*R + 0.422948083102819) - 0.851928524148281)/(-R + 1.00175047114316)**2,0.8545,40.0574
B4,sqrt(-0.553147709187147*R + 0.554468925749096)*(0.884058462819166*R + 2*sqrt(-0.553147709187147*R + 0.554468925749096) - 0.956755548371458)/(-R + 1.00238854204764)**2,1.1270,45.3206
