,a,b,f
A0,0.4455005294877141,0.8311032708899894,0.0009911652414172044
A1,0.3993340615572325,0.7613698235903202,0.0017685155173891938
A2,0.3712566383968466,0.7446335997819209,0.0008254836537166396
A3,0.4044196309596272,0.7744314387819422,0.0017622707927444558
A4,0.4773122387982274,0.838591848480751,0.0023151360699099647
B0,0.4851291533800065,0.8569454999283773,0.0011788650857285068
B1,0.6643609433315845,0.9761441321349995,0.0018757230482010592
B2,0.3884378237720731,0.7711070665862508,0.0006375551539896225
B3,0.4222090183997294,0.7975570351824979,0.0017504711431563164
B4,0.553147709187147,0.8840584628191661,0.0023885420476400954
