,Formula,D(R=0.5),D(R=0.99)
A0,sqrt(-2.91836354352822*R + 2.93152250902753)*(1.51987914955577*R + 2*sqrt(-2.91836354352822*R + 2.93152250902753) - 1.74930421792718)/(-R + 1.00450902202657)**2,6.8526,163.1651
A1,sqrt(-2.01192266857733*R + 2.02842371797871)*(1.20920950833175*R + 2*sqrt(-2.01192266857733*R + 2.02842371797871) - 1.46612232935382)/(-R + 1.00820163203044)**2,4.5448,65.6887
A2,sqrt(-0.593989386513988*R + 0.598648635564668)*(0.598944214684048*R + 2*sqrt(-0.593989386513988*R + 0.598648635564668) - 0.735461598934985)/(-R + 1.00784399377575)**2,1.4108,20.4985
A3,sqrt(-0.862013870715398*R + 0.879977038106513)*(0.707096360433812*R + 2*sqrt(-0.862013870715398*R + 0.879977038106513) - 0.975149843090648)/(-R + 1.02083860596838)**2,1.7747,8.7372
A4,sqrt(-0.677479607406191*R + 0.687240277543527)*(0.648958153474833*R + 2*sqrt(-0.677479607406191*R + 0.687240277543527) - 0.846550361188958)/(-R + 1.01440732684886)**2,1.4693,11.4618
B0,sqrt(-2.36895055096208*R + 2.3900555669799)*(1.35031712127546*R + 2*sqrt(-2.36895055096208*R + 2.3900555669799) - 1.64086843184087)/(-R + 1.00890901501057)**2,5.2158,70.5823
B1,sqrt(-1.45540646072457*R + 1.47821767860335)*(0.969298549542725*R + 2*sqrt(-1.45540646072457*R + 1.47821767860335) - 1.27136621003477)/(-R + 1.01567343453143)**2,3.0817,21.9487
B2,sqrt(-1.25220515946646*R + 1.26594537480775)*(0.924330510645027*R + 2*sqrt(-1.25220515946646*R + 1.26594537480775) - 1.15876783993617)/(-R + 1.01097281482784)**2,2.7671,29.6334
B3,sqrt(-1.6517414048086*R + 1.67628499688079)*(1.01790925949803*R + 2*sqrt(-1.6517414048086*R + 1.67628499688079) - 1.33123715211015)/(-R + 1.01485922191012)**2,3.5557,26.8101
B4,sqrt(-2.27010366533065*R + 2.29496743608173)*(1.23334333180392*R + 2*sqrt(-2.27010366533065*R + 2.29496743608173) - 1.54870833145403)/(-R + 1.01095270279098)**2,5.0409,53.8949
