,a,b,f
A0,2.9183635435282214,1.51987914955577,0.004509022026569661
A1,2.011922668577329,1.2092095083317518,0.008201632030443263
A2,0.593989386513988,0.5989442146840479,0.007843993775753774
A3,0.862013870715398,0.7070963604338124,0.020838605968378193
A4,0.6774796074061914,0.6489581534748325,0.014407326848855848
B0,2.3689505509620794,1.350317121275457,0.008909015010570204
B1,1.455406460724568,0.9692985495427254,0.01567343453142805
B2,1.2522051594664625,0.9243305106450266,0.010972814827839813
B3,1.651741404808603,1.0179092594980303,0.01485922191012231
B4,2.2701036653306548,1.233343331803918,0.010952702790978807
