,Formula,D(R=0.5),D(R=0.99)
A0,sqrt(-2.91836329224222*R + 2.93152224543426)*(1.51987907336648*R + 2*sqrt(-2.91836329224222*R + 2.93152224543426) - 1.74930403445001)/(-R + 1.00450901819764)**2,6.8526,163.1652
A1,sqrt(-2.01190073957799*R + 2.02840038994078)*(1.20920162340477*R + 2*sqrt(-2.01190073957799*R + 2.02840038994078) - 1.46610355304166)/(-R + 1.00820102604379)**2,4.5448,65.6931
A2,sqrt(-0.593989007550292*R + 0.59864822995292)*(0.598943944256069*R + 2*sqrt(-0.593989007550292*R + 0.59864822995292) - 0.735460938108523)/(-R + 1.00784395391733)**2,1.4108,20.4986
A3,sqrt(-0.861997417867927*R + 0.879959073348267)*(0.707087421933574*R + 2*sqrt(-0.861997417867927*R + 0.879959073348267) - 0.975129623687996)/(-R + 1.02083724975043)**2,1.7747,8.7379
A4,sqrt(-0.677482569233485*R + 0.687243467329928)*(0.648960114734874*R + 2*sqrt(-0.677482569233485*R + 0.687243467329928) - 0.84655462980493)/(-R + 1.01440760034238)**2,1.4693,11.4616
B0,sqrt(-2.36891429535555*R + 2.39001713252315)*(1.35030489164357*R + 2*sqrt(-2.36891429535555*R + 2.39001713252315) - 1.64084120378096)/(-R + 1.00890823159325)**2,5.2157,70.5880
B1,sqrt(-1.45540905945231*R + 1.4782204891189)*(0.969299630509002*R + 2*sqrt(-1.45540905945231*R + 1.4782204891189) - 1.27136869325184)/(-R + 1.0156735520632)**2,3.0817,21.9485
B2,sqrt(-1.25218850903572*R + 1.26592749129997)*(0.924322850696268*R + 2*sqrt(-1.25218850903572*R + 1.26592749129997) - 1.15874966029153)/(-R + 1.01097197599652)**2,2.7671,29.6357
B3,sqrt(-1.65173075283108*R + 1.67627346177753)*(1.01790518726678*R + 2*sqrt(-1.65173075283108*R + 1.67627346177753) - 1.3312274427575)/(-R + 1.01485878307005)**2,3.5557,26.8110
B4,sqrt(-2.2700668230397*R + 2.29492791879857)*(1.23333121403044*R + 2*sqrt(-2.2700668230397*R + 2.29492791879857) - 1.54867924880388)/(-R + 1.01095170217306)**2,5.0409,53.8998
