,a,b,f
A0,2.9183632922422174,1.5198790733664844,0.004509018197639832
A1,2.011900739577994,1.2092016234047653,0.0082010260437855
A2,0.5939890075502924,0.5989439442560694,0.007843953917334457
A3,0.8619974178679274,0.7070874219335743,0.02083724975042965
A4,0.6774825692334853,0.6489601147348741,0.014407600342376719
B0,2.3689142953555495,1.350304891643566,0.00890823159325491
B1,1.4554090594523108,0.969299630509002,0.015673552063203727
B2,1.2521885090357194,0.9243228506962675,0.010971975996516307
B3,1.651730752831079,1.017905187266782,0.014858783070050141
B4,2.2700668230397034,1.2333312140304393,0.010951702173056825
